frame,edge_density,f_v,w_v,d_u_m,P_u,yolo_has_det,yolo_conf,yolo_dist_m,yolo_is_obst,rf_prob_obstacle,Decision
145,0.009,0.000,0.018,2.107,0.030,1,0.763,2.213,0,0.000,FREE
146,0.031,0.000,0.061,1.448,0.090,0,0.000,,0,1.000,OBSTACLE
147,0.000,0.000,0.001,0.924,0.214,0,0.000,,0,0.990,OBSTACLE
148,0.018,0.000,0.036,1.622,0.067,0,0.000,,0,1.000,OBSTACLE
149,0.026,0.000,0.052,2.365,0.019,0,0.000,,0,0.000,FREE
150,0.075,0.000,0.150,1.300,0.115,1,0.788,1.217,0,1.000,OBSTACLE
151,0.071,0.000,0.143,1.403,0.096,1,0.652,2.963,0,1.000,OBSTACLE
152,0.032,0.000,0.064,1.675,0.061,1,0.877,1.663,0,1.000,OBSTACLE
153,0.007,0.000,0.013,1.517,0.080,1,0.644,1.434,0,1.000,OBSTACLE
154,0.018,0.000,0.036,2.243,0.024,0,0.000,,0,0.000,FREE
155,0.048,0.000,0.095,1.773,0.052,1,0.803,1.778,0,1.000,OBSTACLE
156,0.031,0.000,0.062,1.518,0.080,1,0.745,1.301,0,1.000,OBSTACLE
157,0.085,0.000,0.170,1.353,0.105,0,0.000,,0,1.000,OBSTACLE
158,0.042,0.000,0.083,1.191,0.137,1,0.822,1.195,0,1.000,OBSTACLE
159,0.190,1.000,0.381,0.916,0.217,1,0.303,1.409,0,1.000,OBSTACLE
160,0.072,0.000,0.145,2.286,0.022,1,0.912,2.915,0,0.000,FREE
161,0.073,0.000,0.146,1.239,0.127,1,0.650,1.224,0,0.990,OBSTACLE
162,0.032,0.000,0.064,1.133,0.151,1,0.875,1.387,0,1.000,OBSTACLE
163,0.017,0.000,0.035,1.957,0.038,0,0.000,,0,0.000,FREE
164,0.067,0.000,0.133,0.997,0.190,1,0.762,1.251,0,1.000,OBSTACLE
165,0.118,0.000,0.237,1.628,0.066,1,0.692,1.669,0,1.000,OBSTACLE
166,0.017,0.000,0.034,2.438,0.017,0,0.000,,0,0.000,FREE
167,0.056,0.000,0.112,1.205,0.134,1,0.472,1.222,0,1.000,OBSTACLE
168,0.020,0.000,0.041,1.732,0.056,1,0.267,2.134,0,1.000,OBSTACLE
169,0.010,0.000,0.020,2.019,0.035,1,0.554,2.446,0,0.000,FREE
170,0.018,0.000,0.036,1.095,0.161,1,0.503,1.128,0,1.000,OBSTACLE
171,0.091,0.000,0.181,1.911,0.041,0,0.000,,0,0.000,FREE
172,0.091,0.000,0.181,2.949,0.007,0,0.000,,0,0.000,FREE
173,0.094,0.000,0.188,2.259,0.023,0,0.000,,0,0.000,FREE
174,0.034,0.000,0.069,2.001,0.036,0,0.000,,0,0.000,FREE
175,0.067,0.000,0.134,1.629,0.066,1,0.806,1.956,0,0.990,OBSTACLE
176,0.010,0.000,0.020,1.593,0.070,0,0.000,,0,1.000,OBSTACLE
177,0.035,0.000,0.070,1.669,0.062,0,0.000,,0,1.000,OBSTACLE
178,0.027,0.000,0.054,1.299,0.115,0,0.000,,0,1.000,OBSTACLE
179,0.055,0.000,0.111,1.284,0.118,0,0.000,,0,1.000,OBSTACLE
180,0.058,0.000,0.117,1.254,0.124,0,0.000,,0,1.000,OBSTACLE
181,0.022,0.000,0.044,1.651,0.064,0,0.000,,0,0.990,OBSTACLE
182,0.026,0.000,0.052,1.800,0.050,0,0.000,,0,0.100,FREE
183,0.058,0.000,0.116,1.829,0.047,0,0.000,,0,0.000,FREE
184,0.030,0.000,0.061,2.751,0.010,0,0.000,,0,0.000,FREE
185,0.039,0.000,0.077,1.997,0.036,1,0.876,1.952,0,0.000,FREE
186,0.084,0.000,0.168,1.026,0.181,0,0.000,,0,1.000,OBSTACLE
187,0.028,0.000,0.055,2.708,0.011,0,0.000,,0,0.000,FREE
188,0.043,0.000,0.085,2.363,0.019,1,0.836,2.367,0,0.000,FREE
189,0.048,0.000,0.096,1.633,0.066,1,0.422,1.644,0,1.000,OBSTACLE
190,0.029,0.000,0.058,1.214,0.132,1,0.497,0.939,0,1.000,OBSTACLE
191,0.119,0.000,0.238,1.074,0.167,0,0.000,,0,1.000,OBSTACLE
192,0.055,0.000,0.109,2.694,0.011,0,0.000,,0,0.000,FREE
193,0.068,0.000,0.136,1.899,0.042,1,0.853,2.003,0,0.000,FREE
194,0.021,0.000,0.042,0.739,0.292,1,0.404,0.820,0,1.000,OBSTACLE
195,0.061,0.000,0.122,0.840,0.247,1,0.484,0.799,0,1.000,OBSTACLE
196,0.031,0.000,0.062,1.802,0.050,1,0.717,2.163,0,0.010,FREE
197,0.029,0.000,0.059,1.699,0.059,1,0.683,1.579,0,1.000,OBSTACLE
198,0.004,0.000,0.008,2.097,0.030,0,0.000,,0,0.010,FREE
199,0.039,0.000,0.078,2.063,0.032,1,0.789,1.465,0,0.000,FREE
200,0.020,0.000,0.039,2.138,0.028,1,0.620,1.627,0,0.000,FREE
201,0.026,0.000,0.053,1.627,0.066,1,0.626,1.612,0,1.000,OBSTACLE
202,0.088,0.000,0.175,0.968,0.199,1,0.708,0.948,0,1.000,OBSTACLE
203,0.102,0.000,0.205,1.112,0.157,1,0.701,1.035,0,1.000,OBSTACLE
204,0.039,0.000,0.078,1.739,0.055,1,0.539,1.445,0,1.000,OBSTACLE
205,0.032,0.000,0.063,1.257,0.123,1,0.619,1.206,0,1.000,OBSTACLE
206,0.047,0.000,0.094,1.609,0.068,1,0.755,1.346,0,1.000,OBSTACLE
207,0.052,0.000,0.105,2.611,0.013,1,0.919,2.464,0,0.000,FREE
208,0.060,0.000,0.120,1.731,0.056,1,0.945,2.270,0,1.000,OBSTACLE
209,0.028,0.000,0.057,2.136,0.028,1,0.264,1.986,0,0.000,FREE
210,0.156,0.000,0.313,2.264,0.023,0,0.000,,0,0.000,FREE
211,0.054,0.000,0.109,1.607,0.069,1,0.885,1.646,0,1.000,OBSTACLE
212,0.044,0.000,0.088,1.761,0.053,1,0.884,1.833,0,1.000,OBSTACLE
213,0.052,0.000,0.104,1.935,0.040,1,0.874,1.963,0,0.000,FREE
214,0.016,0.000,0.032,2.233,0.024,0,0.000,,0,0.000,FREE
215,0.033,0.000,0.066,1.448,0.090,1,0.840,1.531,0,1.000,OBSTACLE
216,0.030,0.000,0.061,1.761,0.053,0,0.000,,0,1.000,OBSTACLE
217,0.033,0.000,0.066,2.464,0.016,0,0.000,,0,0.000,FREE
218,0.052,0.000,0.105,1.918,0.041,1,0.929,1.810,0,0.000,FREE
219,0.026,0.000,0.051,1.619,0.067,1,0.852,1.719,0,1.000,OBSTACLE
220,0.032,0.000,0.064,2.445,0.017,0,0.000,,0,0.000,FREE
221,0.055,0.000,0.109,1.725,0.056,0,0.000,,0,1.000,OBSTACLE
